Hourly,Electricity:Facility[J]
2006-Jan-01 01:00:00,412510661.7463993
2006-Jan-01 02:00:00,331083787.017472
2006-Jan-01 03:00:00,305027906.4729629
2006-Jan-01 04:00:00,291859221.5885504
2006-Jan-01 05:00:00,283870842.42707556
2006-Jan-01 06:00:00,299659889.7849791
2006-Jan-01 07:00:00,338824203.8593786
2006-Jan-01 08:00:00,682593526.5456963
2006-Jan-01 09:00:00,687559494.1623678
2006-Jan-01 10:00:00,733308862.5471084
2006-Jan-01 11:00:00,725380399.465986
2006-Jan-01 12:00:00,769975357.3001711
2006-Jan-01 13:00:00,762235165.7637593
2006-Jan-01 14:00:00,678508601.6289608
2006-Jan-01 15:00:00,612266659.2209076
2006-Jan-01 16:00:00,613507867.0802841
2006-Jan-01 17:00:00,652845842.6574324
2006-Jan-01 18:00:00,690289118.9459045
2006-Jan-01 19:00:00,706985173.0748273
2006-Jan-01 20:00:00,689133863.7883515
2006-Jan-01 21:00:00,687158445.9207869
2006-Jan-01 22:00:00,706404766.3652549
2006-Jan-01 23:00:00,551999665.7082267
2006-Jan-02 00:00:00,508873347.1803069
2006-Jan-02 01:00:00,713430305.324978
2006-Jan-02 02:00:00,589618709.0948322
2006-Jan-02 03:00:00,589832105.4558156
2006-Jan-02 04:00:00,677279091.3430735
2006-Jan-02 05:00:00,700074543.7376759
2006-Jan-02 06:00:00,620839018.4902282
2006-Jan-02 07:00:00,607768988.5488765
2006-Jan-02 08:00:00,682872008.9682539
2006-Jan-02 09:00:00,819493823.2862841
2006-Jan-02 10:00:00,818595638.735083
2006-Jan-02 11:00:00,830260814.1220003
2006-Jan-02 12:00:00,877339588.6428277
2006-Jan-02 13:00:00,880918599.1865996
2006-Jan-02 14:00:00,797238846.5999901
2006-Jan-02 15:00:00,723349639.8541932
2006-Jan-02 16:00:00,691513172.6438001
2006-Jan-02 17:00:00,782429673.49386
2006-Jan-02 18:00:00,883151415.6664549
2006-Jan-02 19:00:00,978672524.8686801
2006-Jan-02 20:00:00,1011360483.962487
2006-Jan-02 21:00:00,965127440.3191271
2006-Jan-02 22:00:00,907903666.6370664
2006-Jan-02 23:00:00,843141783.4772483
2006-Jan-03 00:00:00,763100390.1038567
2006-Jan-03 01:00:00,717926278.1261758
2006-Jan-03 02:00:00,684077048.2009352
2006-Jan-03 03:00:00,687643126.418216
2006-Jan-03 04:00:00,712052929.8017092
2006-Jan-03 05:00:00,737424111.3451666
2006-Jan-03 06:00:00,814182742.0938296
2006-Jan-03 07:00:00,1045584106.9887004
2006-Jan-03 08:00:00,1121785414.519313
2006-Jan-03 09:00:00,1104931923.9999428
2006-Jan-03 10:00:00,1133888245.0051496
2006-Jan-03 11:00:00,1026005103.372746
2006-Jan-03 12:00:00,1056965773.4810536
2006-Jan-03 13:00:00,977729064.5246372
2006-Jan-03 14:00:00,943165047.1858681
2006-Jan-03 15:00:00,883756049.9477913
2006-Jan-03 16:00:00,871784746.6526978
2006-Jan-03 17:00:00,1056094672.9956195
2006-Jan-03 18:00:00,1204432830.2064657
2006-Jan-03 19:00:00,1214763019.3076952
2006-Jan-03 20:00:00,1186439397.2311268
2006-Jan-03 21:00:00,1083261583.5886412
2006-Jan-03 22:00:00,1074790287.2158132
2006-Jan-03 23:00:00,1037230394.4525037
2006-Jan-04 00:00:00,1011945498.6523151
2006-Jan-04 01:00:00,1008501167.7916511
2006-Jan-04 02:00:00,1015842074.162231
2006-Jan-04 03:00:00,1048148898.1320606
2006-Jan-04 04:00:00,978099764.1867456
2006-Jan-04 05:00:00,907782623.9744222
2006-Jan-04 06:00:00,1070519771.6602004
2006-Jan-04 07:00:00,1240751725.3061488
2006-Jan-04 08:00:00,1242921473.8247616
2006-Jan-04 09:00:00,1075940150.9234684
2006-Jan-04 10:00:00,887480897.8938682
2006-Jan-04 11:00:00,757261212.5513879
2006-Jan-04 12:00:00,709410659.4850452
2006-Jan-04 13:00:00,724098417.6298577
2006-Jan-04 14:00:00,663792852.9594781
2006-Jan-04 15:00:00,595253470.8641965
2006-Jan-04 16:00:00,618801274.5523221
2006-Jan-04 17:00:00,717197834.3956991
2006-Jan-04 18:00:00,840245866.4706064
2006-Jan-04 19:00:00,920102089.0521317
2006-Jan-04 20:00:00,937068189.4515499
2006-Jan-04 21:00:00,984730929.5228533
2006-Jan-04 22:00:00,940366001.8520453
2006-Jan-04 23:00:00,953245373.4850456
2006-Jan-05 00:00:00,850709618.900898
2006-Jan-05 01:00:00,809514264.6249144
2006-Jan-05 02:00:00,757286801.497787
2006-Jan-05 03:00:00,621591376.6947845
2006-Jan-05 04:00:00,619323520.2382755
2006-Jan-05 05:00:00,613717524.5351167
2006-Jan-05 06:00:00,656337230.09164
2006-Jan-05 07:00:00,761772130.5162425
2006-Jan-05 08:00:00,852074552.8820907
2006-Jan-05 09:00:00,831854145.8553096
2006-Jan-05 10:00:00,740753620.9433182
2006-Jan-05 11:00:00,684515409.398904
2006-Jan-05 12:00:00,625039346.1636115
2006-Jan-05 13:00:00,637533540.1999989
2006-Jan-05 14:00:00,568169403.8514991
2006-Jan-05 15:00:00,523902058.1224847
2006-Jan-05 16:00:00,532462665.7057966
2006-Jan-05 17:00:00,636947301.8138218
2006-Jan-05 18:00:00,760057169.8006953
2006-Jan-05 19:00:00,828690546.0859118
2006-Jan-05 20:00:00,798335411.1180124
2006-Jan-05 21:00:00,788010372.2713208
2006-Jan-05 22:00:00,761723747.2136217
2006-Jan-05 23:00:00,654316567.7885612
2006-Jan-06 00:00:00,545520181.1649222
2006-Jan-06 01:00:00,613364925.5955513
2006-Jan-06 02:00:00,705442813.0680985
2006-Jan-06 03:00:00,945132924.5451891
2006-Jan-06 04:00:00,1021488159.9775589
2006-Jan-06 05:00:00,1024673979.2650323
2006-Jan-06 06:00:00,1147510550.0999258
2006-Jan-06 07:00:00,1337548595.222958
2006-Jan-06 08:00:00,1390132632.4411995
2006-Jan-06 09:00:00,1313558873.5902872
2006-Jan-06 10:00:00,1167635953.1340477
2006-Jan-06 11:00:00,1001226029.5878879
2006-Jan-06 12:00:00,1116769575.247883
2006-Jan-06 13:00:00,1266201955.067554
2006-Jan-06 14:00:00,1155868830.3148315
2006-Jan-06 15:00:00,944970858.3035965
2006-Jan-06 16:00:00,924943569.1511474
2006-Jan-06 17:00:00,1057298844.3710331
2006-Jan-06 18:00:00,997229696.5840358
2006-Jan-06 19:00:00,990839628.8662162
2006-Jan-06 20:00:00,951835430.9819999
2006-Jan-06 21:00:00,901840391.8503673
2006-Jan-06 22:00:00,868712634.639374
2006-Jan-06 23:00:00,791422429.5904939
2006-Jan-07 00:00:00,688928025.0438712
2006-Jan-07 01:00:00,345613642.08164257
2006-Jan-07 02:00:00,308588345.1834446
2006-Jan-07 03:00:00,283535384.64393216
2006-Jan-07 04:00:00,275271701.22254854
2006-Jan-07 05:00:00,290298237.8992121
2006-Jan-07 06:00:00,357451258.78802645
2006-Jan-07 07:00:00,495226110.91797525
2006-Jan-07 08:00:00,1242514803.7674794
