Hourly,Electricity:Facility[J]
2006-Jan-01 01:00:00,91525401.57520497
2006-Jan-01 02:00:00,88320408.42141302
2006-Jan-01 03:00:00,93641342.08919789
2006-Jan-01 04:00:00,99705030.94506389
2006-Jan-01 05:00:00,107465997.70047684
2006-Jan-01 06:00:00,115808236.35586561
2006-Jan-01 07:00:00,126477257.08628401
2006-Jan-01 08:00:00,276846492.7572995
2006-Jan-01 09:00:00,249574725.46562642
2006-Jan-01 10:00:00,224739276.84064117
2006-Jan-01 11:00:00,197893388.69587895
2006-Jan-01 12:00:00,187566345.50817305
2006-Jan-01 13:00:00,171965880.9392534
2006-Jan-01 14:00:00,151058330.09888905
2006-Jan-01 15:00:00,136809345.87077922
2006-Jan-01 16:00:00,139577171.22643477
2006-Jan-01 17:00:00,163944641.1598478
2006-Jan-01 18:00:00,181554481.97581723
2006-Jan-01 19:00:00,184839086.0032602
2006-Jan-01 20:00:00,186930212.91194913
2006-Jan-01 21:00:00,182861099.36833754
2006-Jan-01 22:00:00,185860245.32619473
2006-Jan-01 23:00:00,92404805.42776082
2006-Jan-02 00:00:00,100690250.66190746
2006-Jan-02 01:00:00,236129570.1473953
2006-Jan-02 02:00:00,220818275.99716863
2006-Jan-02 03:00:00,222302105.8372416
2006-Jan-02 04:00:00,235377797.72360462
2006-Jan-02 05:00:00,242935192.87590027
2006-Jan-02 06:00:00,239899117.92776775
2006-Jan-02 07:00:00,243781669.9134915
2006-Jan-02 08:00:00,247383837.61369342
2006-Jan-02 09:00:00,253774761.7614638
2006-Jan-02 10:00:00,239536724.6288006
2006-Jan-02 11:00:00,231759744.79610577
2006-Jan-02 12:00:00,232854388.72298756
2006-Jan-02 13:00:00,227739519.90698075
2006-Jan-02 14:00:00,208536909.1016062
2006-Jan-02 15:00:00,189004994.25800127
2006-Jan-02 16:00:00,189887642.63100022
2006-Jan-02 17:00:00,226966799.72273028
2006-Jan-02 18:00:00,250847262.3139391
2006-Jan-02 19:00:00,264099163.47223485
2006-Jan-02 20:00:00,276401607.8391089
2006-Jan-02 21:00:00,277831912.00822794
2006-Jan-02 22:00:00,275637009.943993
2006-Jan-02 23:00:00,274742997.0558259
2006-Jan-03 00:00:00,277647933.71988064
2006-Jan-03 01:00:00,279423882.8695989
2006-Jan-03 02:00:00,281179407.42303437
2006-Jan-03 03:00:00,291509582.57803583
2006-Jan-03 04:00:00,300792237.8805757
2006-Jan-03 05:00:00,310092783.3879035
2006-Jan-03 06:00:00,323677126.8818245
2006-Jan-03 07:00:00,370671244.0954905
2006-Jan-03 08:00:00,376959256.6706078
2006-Jan-03 09:00:00,367932010.60982895
2006-Jan-03 10:00:00,367002468.1971304
2006-Jan-03 11:00:00,345672953.7244539
2006-Jan-03 12:00:00,342833483.74490076
2006-Jan-03 13:00:00,325708158.5812848
2006-Jan-03 14:00:00,329970278.84197116
2006-Jan-03 15:00:00,316723028.3195287
2006-Jan-03 16:00:00,315079679.7412344
2006-Jan-03 17:00:00,349423822.97272414
2006-Jan-03 18:00:00,371599001.6465304
2006-Jan-03 19:00:00,368636736.69880646
2006-Jan-03 20:00:00,367520068.26244766
2006-Jan-03 21:00:00,355365618.757035
2006-Jan-03 22:00:00,355606106.9048194
2006-Jan-03 23:00:00,352212293.47657955
2006-Jan-04 00:00:00,351959053.2663968
2006-Jan-04 01:00:00,350021288.6613076
2006-Jan-04 02:00:00,350281398.65576184
2006-Jan-04 03:00:00,349546092.5770479
2006-Jan-04 04:00:00,337484545.04498374
2006-Jan-04 05:00:00,327857607.3424262
2006-Jan-04 06:00:00,344904199.6358757
2006-Jan-04 07:00:00,360647360.53276527
2006-Jan-04 08:00:00,353335156.69433856
2006-Jan-04 09:00:00,318864437.09810686
2006-Jan-04 10:00:00,278692527.91392636
2006-Jan-04 11:00:00,247652110.22160003
2006-Jan-04 12:00:00,228590019.62380338
2006-Jan-04 13:00:00,220296043.07554734
2006-Jan-04 14:00:00,192135948.62813538
2006-Jan-04 15:00:00,168822448.5513919
2006-Jan-04 16:00:00,173954278.80187735
2006-Jan-04 17:00:00,208516022.11867926
2006-Jan-04 18:00:00,231883882.2015347
2006-Jan-04 19:00:00,240275282.62208462
2006-Jan-04 20:00:00,243426187.000771
2006-Jan-04 21:00:00,248859181.97346622
2006-Jan-04 22:00:00,243475220.67899254
2006-Jan-04 23:00:00,245198386.7584063
2006-Jan-05 00:00:00,235792602.49651545
2006-Jan-05 01:00:00,235806835.14704332
2006-Jan-05 02:00:00,231737876.20444345
2006-Jan-05 03:00:00,220349276.7878019
2006-Jan-05 04:00:00,221836202.22140843
2006-Jan-05 05:00:00,222351970.31629294
2006-Jan-05 06:00:00,230872260.04851222
2006-Jan-05 07:00:00,244980215.96296865
2006-Jan-05 08:00:00,250440062.64296526
2006-Jan-05 09:00:00,235228866.93005818
2006-Jan-05 10:00:00,205870740.68728417
2006-Jan-05 11:00:00,188706530.14860907
2006-Jan-05 12:00:00,170464581.7751292
2006-Jan-05 13:00:00,161159103.46560276
2006-Jan-05 14:00:00,143356046.97292477
2006-Jan-05 15:00:00,136319606.3649038
2006-Jan-05 16:00:00,142360457.01837277
2006-Jan-05 17:00:00,172979186.11556643
2006-Jan-05 18:00:00,197916521.8151071
2006-Jan-05 19:00:00,209597733.86647457
2006-Jan-05 20:00:00,205253425.1069746
2006-Jan-05 21:00:00,198859129.71074662
2006-Jan-05 22:00:00,198166494.19205275
2006-Jan-05 23:00:00,188012370.1155548
2006-Jan-06 00:00:00,177604149.53875262
2006-Jan-06 01:00:00,191170095.58871368
