Type,Location,Vintage,Number of apartments,Total consumption,Consumption per apartment,Consumption per m2,Name,Surface
MURBhighrise,renelevesque,1945,182,2781244,15281.56044,202.25,HR_RL_1945,13751.51545
MURBhighrise,duke,20112020,104,903444,8686.961538,95.72,HR_DU_20112020,9438.403677
MURBhighrise,anjou,19802010,140,1344072,9600.514286,104.35,HR_AJ_19802010,12880.42166
MURBhighrise,monkland,19501980,130,1345222,10347.86154,140.55,HR_MK_19461980,9571.127713
MURBhighrise,hutchison,19501980,72,630594,8758.25,149.29,HR_HU_19461980,4223.953379
MURBmidrise,notredame,pre1945,20,307633,15381.65,232.18,MR_ND_1945,1324.976311
MURBmidrise,walker,19501980,50,444397,8887.94,114.68,MR_WAL_19461980,3875.104639
MURBmidrise,saintjean,20112020,40,407731,10193.275,105.84,MR_SJ_20112020,3852.333711
MURBmidrise,saintgregoire,20112020,96,895959,9332.90625,124.23,MR_SG_20112020,7212.098527
MURBmidrise,fleury,19802010,96,684803,7133.364583,120.14,MR_RF_19802010,5700.041618
