timestamp,A_Pre1945,B_19461983,C_19842010,D_Post2011,Average of temperatureatmospherique
1/1/2020 0:00,2.0896,1.567850847,1.402613333,1.476948837,-1.1
1/1/2020 1:00,2.0131,1.393911864,1.44944,1.225283721,-1.033333333
1/1/2020 2:00,1.2209,1.387891525,1.26992,1.201618605,-1.166666667
1/1/2020 3:00,1.4371,1.485437288,1.337546667,1.463330233,-0.8
1/1/2020 4:00,2.2002,1.195342373,1.277866667,1.235330233,-0.866666667
1/1/2020 5:00,2.8679,1.474962712,1.39296,1.23784186,-0.8
1/1/2020 6:00,2.3963,1.634989831,1.440106667,1.410474419,-0.833333333
1/1/2020 7:00,2.5239,1.568501695,1.29952,1.477060465,-0.433333333
1/1/2020 8:00,2.2813,1.795261017,1.290133333,1.571162791,-0.133333333
1/1/2020 9:00,2.5536,1.718379661,1.464266667,1.491572093,0.133333333
1/1/2020 10:00,2.5084,1.776467797,1.512,1.828911628,0.166666667
1/1/2020 11:00,2.2373,2.283152542,2.060533333,1.404613953,0.366666667
1/1/2020 12:00,2.2419,2.005261017,1.947573333,1.36347907,0.633333333
1/1/2020 13:00,2.6629,2.1372,1.921546667,1.464669767,0.866666667
1/1/2020 14:00,1.8918,2.174359322,2.310613333,1.47304186,0.866666667
1/1/2020 15:00,2.9295,1.901532203,2.1664,1.964818605,0.766666667
1/1/2020 16:00,3.3392,1.988542373,2.022986667,1.951534884,0.6
1/1/2020 17:00,2.3097,1.960677966,2.2464,1.811274419,0.633333333
1/1/2020 18:00,2.0993,1.824183051,1.9744,1.805804651,0.766666667
1/1/2020 19:00,1.9722,1.960922034,2.576,1.973525581,0.733333333
1/1/2020 20:00,2.0265,2.042644068,1.392533333,1.704781395,0.666666667
1/1/2020 21:00,1.9302,1.996881356,1.82512,1.63172093,0.333333333
1/1/2020 22:00,2.326,1.690108475,1.690346667,1.327813953,-0.533333333
1/1/2020 23:00,2.3482,1.629010169,1.764266667,1.550623256,-0.866666667
1/2/2020 0:00,1.9859,1.518732203,1.540586667,1.365488372,-1.8
1/2/2020 1:00,1.8487,1.588840678,1.36624,1.221209302,-2.533333333
1/2/2020 2:00,2.4446,1.6848,1.18176,1.283274419,-3.233333333
1/2/2020 3:00,1.9727,1.550928814,1.31168,1.24984186,-4.933333333
1/2/2020 4:00,2.8834,1.377661017,1.398773333,1.215627907,-6.066666667
1/2/2020 5:00,2.948,1.881477966,1.68528,1.453395349,-6.8
1/2/2020 6:00,2.1616,2.083342373,1.947573333,1.216018605,-7
1/2/2020 7:00,3.0335,2.205640678,1.468426667,1.471702326,-7.4
1/2/2020 8:00,3.8141,2.090705085,1.63648,1.797544186,-7.566666667
